"OrderID","CustomerID","FirstName","LastName","Gender","Age","Region","ProductCategory","Quantity","UnitPrice","Discount","SalesRep","PaymentMethod","CustomerSegment","City","OrderDate","Email","Phone","Rating","Comments","Revenue"
"ORD000001","CUST46472","Kelly","Baker","Male",53,"South","Sports",10,2775.16,0.09,"Nancy","Bank Transfer","Wholesale","Nairobi",2025-05-24,"vincent2294@gmail.com","0713301123",4,"Late delivery",25253.96
"ORD000002","CUST28725","Adam","Jordan",NA,39,"South","Sports",6,688.75,0.32,"Tabitha","Cash",NA,NA,2024-09-18,"marilyn547@gmail.com","0774478500",5,"Late delivery",2810.1
"ORD000003","CUST11646","Paul","Adams","Female",43,"West","Health & Beauty",17,2327.62,0.37,"Ian","Mobile Money","SME","Malindi",2023-07-07,NA,"0710826636",3,"Highly recommended",24928.81
"ORD000004","CUST66427","Chris","Fox","Male",75,"East","Furniture",5,1477.19,0.27,"Brian","Mobile Money","Wholesale","Naivasha",2024-02-11,"charlotte217@gmail.com","0761837969",5,"Product damaged",5391.74
"ORD000005","CUST55342","Nancy","Njoroge","Male",71,"East",NA,-16,253.64,0.26,"Steve","Bank Transfer","SME","embu",2024-02-15,"logan1615@gmail.com","0752633078",4,"Average experience",-3003.1
"ORD000006","CUST98919","Alex","Ryan","Female",69,"Central","Home Appliances",18,2179.5,0.36,"Paul","Debit Card","Government","nyeri",2024-03-20,"kyle6091@gmail.com","0773139931",4,"Wrong item",25107.84
"ORD000007","CUST10078","Thomas","Harris","Female",38,"West","Home Appliances",20,1108.99,0.02,"Martin","Credit Card","Retail","Kitale",2024-06-04,"billy9665@gmail.com","0775325391",4,"Late delivery",21736.2
"ORD000008","CUST11133","Lisa","Webb ","Male",50,"Central","Electronics",9,1811.75,0.38,"Edwin","Debit Card","Retail","Mombasa",2025-03-25,"alex9174@gmail.com","0759815442",1,"Highly recommended",10109.57
"ORD000009","CUST32507","Angela","Brooks","Female",34,"East","Furniture",11,2274.12,0.03,"Terry","Credit Card","Wholesale","Kisii",2023-02-05,"albert9355@gmail.com","0791307297",1,"Average experience",24264.86
"ORD000010","CUST79557","Olivia","Morris","Female",20,"North","Automotive",1,457.26,0.19,"Calvin","Debit Card","Wholesale","Kitale",2023-05-12,"ryan7579@gmail.com","0778241027",1,"Late delivery",370.38
"ORD000010","CUST87693","Roy",NA,"Male",42,"Central","Sports",10,1484.12,0.26,"Calvin","Cash","SME","Kitale",2023-07-01,"angela5307@gmail.com","0724003636",1,"Fast shipping",10982.49
"ORD000012","CUST84716","Thomas","Knight",NA,58,"South","Home Appliances",20,2950.49,0.19,"Tabitha","Credit Card","Corporate","Malindi",2023-11-20,"jennifer7211@gmail.com","0720408586",5,"Excellent service",47797.94
"ORD000013","CUST49435","Lawrence","Musyoka","Female",63,"EAST","Home Appliances",11,1903.16,0.21,"Lucy","Debit Card","Corporate","Kisumu",2024-01-23,"jonathan8224@gmail.com","0786622518",5,"Average experience",16538.46
"ORD000014","CUST87028","Andrew","Jones","Male",29,"South","Furniture",16,2316.99,0.37,"Gilbert","Cash","Wholesale","Meru",2024-11-03,"jordan7323@gmail.com","0795203393",3,"Fast shipping",23355.26
"ORD000015","CUST76594","Walter","Rivera","Male",53,"South","Automotive",13,2274.18,0.34,"Brenda","Credit Card","Government","Machakos",2025-03-18,"ethan4015@gmail.com","0798848261",3,"Will buy again",19512.46
"ORD000016","CUST41273","Brian","Perez","Female",69,"East","Office Supplies",19,1894.23,0.05,"Edwin","Mobile Money","Wholesale","Meru",2024-06-13,"jacob5162@gmail.com","0768824601",5,"Excellent service",34190.85
"ORD000017","CUST39283","Scott","Cooper","Female",70,"West","Electronics",6,1691.58,0.06,"Brian","Credit Card","Retail","Kisii",2024-11-05,"arthur8667@gmail.com","0728045860",5,"Poor customer service",9540.51
"ORD000018","CUST77804","Ashley","Reyes","Female",52,"East",NA,13,2853.7,0.35,"Ursula","Bank Transfer","Government",NA,2025-11-30,"emily3305@gmail.com","0739973650",3,"Product damaged",24113.76
"ORD000019","CUST29304","Jordan","Ellis","Male",28,"West","Office Supplies",20,964.85,0.25,"Ruth","Credit Card","Corporate","Mombasa",2024-09-07,"logan5973@gmail.com","0751933959",3,"Highly recommended",14472.75
"ORD000020","CUST91028"," Jean",NA,"Male",44,"Central","Furniture",10,675.52,0.26,NA,"Credit Card","Wholesale","Kisii",2024-05-07,"kathleen9825@gmail.com","0733589441",5,"Highly recommended",4998.85
"ORD000021","CUST51452","Harry","Ramirez","Male",63,"North","Sports",18,2146.31,0.39,"Kevin","Credit Card","Wholesale","Kisumu",2025-05-31,"brenda5084@gmail.com","0733269555",5,"Fast shipping",23566.48
"ORD000022","CUST13007","Kenneth","Wanjiku","Male",58,"West","Electronics",2,714.14,0.31,"Edwin","Debit Card","Retail","Meru",2025-01-22,"emma4130@gmail.com","0751054230",4,"Wrong item",985.51
"ORD000023","CUST88717","Alexander","Lewis","Female",71,"South","Sports",9,588.93,0.19,NA,"Debit Card","Wholesale","Malindi",2025-04-21,"wayne8873@gmail.com","0787054381",4,NA,4293.3
"ORD000024","CUST68692","Johnny","Williamson","Female",73,NA,"Sports",4,836.37,0.29,"Ian","Mobile Money","Government","Nyeri",2023-05-05,NA,"0712335346",2,"Late delivery",2375.29
